Year;SSB_t;Fbar;IcesArea;IcesAreaDescription
1957;65745;0,215;4;North Sea
1958;68162;0,211;4;North Sea
1959;71890;0,221;4;North Sea
1960;74847;0,256;4;North Sea
1961;106950;0,308;4;North Sea
1962;89727;0,335;4;North Sea
1963;72381;0,313;4;North Sea
1964;54265;0,288;4;North Sea
1965;43969;0,292;4;North Sea
1966;105140;0,331;4;North Sea
1967;104470;0,407;4;North Sea
1968;92616;0,503;4;North Sea
1969;71403;0,553;4;North Sea
1970;64885;0,522;4;North Sea
1971;55621;0,492;4;North Sea
1972;63699;0,517;4;North Sea
1973;47266;0,559;4;North Sea
1974;46484;0,552;4;North Sea
1975;48190;0,509;4;North Sea
1976;47368;0,477;4;North Sea
1977;38478;0,476;4;North Sea
1978;44399;0,493;4;North Sea
1979;52828;0,506;4;North Sea
1980;40157;0,525;4;North Sea
1981;26815;0,547;4;North Sea
1982;38826;0,577;4;North Sea
1983;51811;0,611;4;North Sea
1984;51958;0,629;4;North Sea
1985;47459;0,626;4;North Sea
1986;38541;0,593;4;North Sea
1987;34467;0,545;4;North Sea
1988;41698;0,503;4;North Sea
1989;37706;0,474;4;North Sea
1990;108460;0,460;4;North Sea
1991;85409;0,463;4;North Sea
1992;84047;0,489;4;North Sea
1993;58217;0,534;4;North Sea
1994;88988;0,593;4;North Sea
1995;67536;0,651;4;North Sea
1996;41123;0,690;4;North Sea
1997;33626;0,697;4;North Sea
1998;24543;0,674;4;North Sea
1999;47780;0,651;4;North Sea
2000;39774;0,643;4;North Sea
2001;33416;0,635;4;North Sea
2002;32846;0,606;4;North Sea
2003;25750;0,567;4;North Sea
2004;38227;0,547;4;North Sea
2005;31950;0,548;4;North Sea
2006;25314;0,532;4;North Sea
2007;17997;0,479;4;North Sea
2008;32908;0,440;4;North Sea
2009;30180;0,453;4;North Sea
2010;29099;0,503;4;North Sea
2011;26757;0,517;4;North Sea
2012;28825;0,471;4;North Sea
2013;33067;0,422;4;North Sea
2014;29169;0,397;4;North Sea
2015;27564;0.40S;4;North Sea
2016;33064;0,444;4;North Sea
2017;28847;0,478;4;North Sea
2018;23340;0,444;4;North Sea
2019;23413;0,338;4;North Sea
2020;29141;0,233;4;North Sea
1970;6436;0,390;7a;Irish Sea
1971;6222;0,440;7a;Irish Sea
1972;5011;0,451;7a;Irish Sea
1973;5123;0,430;7a;Irish Sea
1974;5068;0,444;7a;Irish Sea
1975;5359;0,395;7a;Irish Sea
1976;4889;0,427;7a;Irish Sea
1977;4490;0,370;7a;Irish Sea
1978;5092;0,358;7a;Irish Sea
1979;5685;0,475;7a;Irish Sea
1980;5513;0,637;7a;Irish Sea
1981;5165;0,481;7a;Irish Sea
1982;4331;0,441;7a;Irish Sea
1983;4095;0,436;7a;Irish Sea
1984;4602;0,352;7a;Irish Sea
1985;5637;0,337;7a;Irish Sea
1986;6947;0,438;7a;Irish Sea
1987;7153;0,864;7a;Irish Sea
1988;5504;0,694;7a;Irish Sea
1989;4616;0,580;7a;Irish Sea
1990;3610;0,658;7a;Irish Sea
1991;3173;0,506;7a;Irish Sea
1992;3440;0,531;7a;Irish Sea
1993;3219;0,560;7a;Irish Sea
1994;4034;0,496;7a;Irish Sea
1995;3504;0,509;7a;Irish Sea
1996;2698;0,526;7a;Irish Sea
1997;2488;0,598;7a;Irish Sea
1998;3009;0,497;7a;Irish Sea
1999;3302;0,472;7a;Irish Sea
2000;3108;0,461;7a;Irish Sea
2001;3545;0,351;7a;Irish Sea
2002;3556;0,383;7a;Irish Sea
2003;3193;0,361;7a;Irish Sea
2004;2285;0,313;7a;Irish Sea
2005;2065;0,555;7a;Irish Sea
2006;1632;0,469;7a;Irish Sea
2007;1389;0,338;7a;Irish Sea
2008;1328;0,314;7a;Irish Sea
2009;1074;0,386;7a;Irish Sea
2010;1197;0,290;7a;Irish Sea
2011;1096;0,351;7a;Irish Sea
2012;1158;0,300;7a;Irish Sea
2013;1090;0,167;7a;Irish Sea
2014;874;0,119;7a;Irish Sea
2015;1297;0,076;7a;Irish Sea
2016;1230;0,037;7a;Irish Sea
2017;1900;0,020;7a;Irish Sea
2018;2698;0,014;7a;Irish Sea
2019;2997;0,148;7a;Irish Sea
2020;3493;0,131;7a;Irish Sea
1984;12313;0,31;8ab;Bay of Biscay
1985;13355;0,31;8ab;Bay of Biscay
1986;14462;0,37;8ab;Bay of Biscay
1987;15451;0,37;8ab;Bay of Biscay
1988;15321;0,4;8ab;Bay of Biscay
1989;14421;0,5;8ab;Bay of Biscay
1990;14764;0,45;8ab;Bay of Biscay
1991;14715;0,42;8ab;Bay of Biscay
1992;15909;0,61;8ab;Bay of Biscay
1993;16308;0,53;8ab;Bay of Biscay
1994;15773;0,65;8ab;Bay of Biscay
1995;14169;0,58;8ab;Bay of Biscay
1996;13743;0,55;8ab;Bay of Biscay
1997;13256;0,61;8ab;Bay of Biscay
1998;13176;0,54;8ab;Bay of Biscay
1999;12277;0,63;8ab;Bay of Biscay
2000;11794;0,63;8ab;Bay of Biscay
2001;10536;0,57;8ab;Bay of Biscay
2002;9781;0,83;8ab;Bay of Biscay
2003;9600;0,49;8ab;Bay of Biscay
2004;11096;0,37;8ab;Bay of Biscay
2005;11455;0,47;8ab;Bay of Biscay
2006;12038;0,44;8ab;Bay of Biscay
2007;11031;0,46;8ab;Bay of Biscay
2008;10922;0,51;8ab;Bay of Biscay
2009;10734;0,49;8ab;Bay of Biscay
2010;12633;0,44;8ab;Bay of Biscay
2011;14446;0,41;8ab;Bay of Biscay
2012;14107;0,47;8ab;Bay of Biscay
2013;13245;0,46;8ab;Bay of Biscay
2014;10645;0,45;8ab;Bay of Biscay
2015;10308;0,44;8ab;Bay of Biscay
2016;10757;0,37;8ab;Bay of Biscay
2017;13034;0,29;8ab;Bay of Biscay
2018;12360;0,34;8ab;Bay of Biscay
2019;11564;0,36;8ab;Bay of Biscay
2020;10355;0,38;8ab;Bay of Biscay
